,id,plan_name,date_added,suggested_by,url,plan_resolution,planning_method,aquisition,easement,stewardship,habit,water_quality,resource_species,community_resilience,gulf_economy,code,related_state,status,is_new,existing_planid,username
11,354,Deepwater Horizon Oil Spill: Final Programmatic Damage Assessment and Restoration Plan and Final Programmatic Environmental Impact Statement,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.gulfspillrestoration.noaa.gov/sites/default/files/wp-content/uploads/Chapter-5_Restoring-Natural-Resources_508.pdf,GCR,NULL,Yes,Yes,Yes,Restore and conserve habitat,Restore water quality,Replinish and protect resources,"Provide for monitoring, adaptive management, and administrative oversight",Provide and enhance recreational opportunities,NULL,,,,,
12,355,Ducks Unlimited International Conservation Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.ducks.org/media/Conservation/Conservation%20Plan/_documents/a_ICP2004%20final%208.05.pdf,National + Basin + Watershed + Estuary + Coastal Zone,NULL,Yes,Yes,Yes,"Conserve, restore, and manage habitat","Conserve, restore, and manage wetland ecosystem",Retain and restore functionally integrated landscapes and ecological integrity,Expand extension initiatives,Expand extension initiatives,NULL,,,,,
13,356,Alligator Harbor Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.gpo.gov/fdsys/pkg/CZIC-qh91-75-f6-a55-1986/pdf/CZIC-qh91-75-f6-a55-1986.pdf#,County + Estuary + Coastal Zone,NULL,Yes,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,,,,,
14,357,Big Bend Seagrasses Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/cama/plans/aquatic/Big-Bend-Seagrasses-AP-Management-Plan.pdf,Basin + Watershed + Estuary + Coastal Zone,NULL,Yes,Yes,Yes,"Protect, restore, and enhance ecological integrity",Restore and protect water quality,Protect resources,Public use and involvement. Education and outreach.,Preserve have great economic value,NULL,,,,,
15,358,"Charlotte Harbor Aquatic Preserves Management Plan - Including Cape Haze, Gasparilla Sound-Charlotte Harbor, Lemon Bay, Matlacha Pass, and Pine Island Sound Aquatic Preserves",2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/Charlotte-Harbor-AP-Management-Plan.pdf,geomorphological,NULL,Yes,NULL,Yes,"Protect, restore, and enhance ecological integrity",Restore and protect water quality,Protect resources,Public use and involvement. Education and outreach.,Preserve have great economic value,NULL,,,,,
16,359,Cockroach Bay Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,https://tampabay.wateratlas.usf.edu/upload/documents/Cockroach_Bay_AP_Management_Plan-2016.pdf,geomorphological,NULL,Yes,NULL,Yes,"Protect, restore, and enhance ecological integrity",Restore and protect water quality,Protect resources,Public use and involvement. Education and outreach.,Preserve have great economic value,NULL,,,,,
17,360,Coupon Bight Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/CouponBight.pdf#,geomoprhological,NULL,Yes,?,Yes,Restore or enhance habitat,"Restore, enhance or maintain water quality",NULL,Public education and outreach.,Preserve have great economic value,NULL,,,,,
18,361,Estero Bay Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/cama/plans/aquatic/Estero_Bay_Aquatic_Preserve_Management_Plan_2014.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
19,362,Ft. Pickens Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/FtPickens.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
20,363,Lemon Bay Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.sarasota.wateratlas.usf.edu/upload/documents/Lemon Bay Aquatic Preserve Mgt Plan DNR 1992.pdf#,geomorphological,NULL,NULL,NULL,yes,maintenance and restoration of natural conditions ,minimizing water pollution ,protecting ciritcal habitat for species ,public use and education,NULL,CP,,,,,
21,364,Lignumvitae Key Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/LignumvitaeKey.pdf#,geomorphological,NULL,yes,NULL,yes,maintenanace of existing areas and restoring of damaged or disturbed areas ,more testing needs to be done on water quality,protecting endgaered and threatened species,public use and education ,NULL,CP,,,,,
22,365,Pinellas County Island Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/coastal/sites/pinellas/pub/Pinellas_County_Island_Management_Plan_2002.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
23,366,Rocky Bayou Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/RockyBayou.pdf#,geomorphological,NULL,NULL,NULL,yes,habitat restoration programs,improve water quality,detailed resource inventories,"public use, education, and outreach",NULL,CP,,,,,
24,367,St. Andrews State Park Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/St_Andrews_Aquatic_Preserve_Management_Plan.pdf#,geomorphological,NULL,NULL,NULL,yes,restoration and protection of seagrass habitat,assessment and pollution and contamination source control ,restoration and protection of resources as well as monitoring and documentation,"public use, education, and outreach",seagrass habitat is viable to the economy and a popular tourist destination ,CP,,,,,
25,368,St. Joseph Bay Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/coastal/sites/stjoseph/pub/StJosephBay_2008.pdf#,geomorphological,NULL,NULL,NULL,yes,restoration and protection of seagrass and saltmarsh habitat,monitoring water quality,"resource mapping, modeling, monitoring, research, and scientific oversight ","public use, education, and outreach",commercial and recreational industries rely on the seagrass and saltmarsh habitat ,CP,,,,,
26,369,St. Martins Marsh Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/St_Martins_Marsh_Aquatic_Preserve_Management_Plan.pdf#,geomorphological,NULL,NULL,NULL,yes,protect seagrass habitats,monitoring water quality,"resource mapping, modeling, monitoring, research, and scientific oversight ","public use, education, and outreach",public use is dominated by ecotourism ,CP,,,,,
27,370,Terra Ceia Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/coastal/sites/terraceia/pub/TerraCeia_Plan_2009.pdf#,geomorphological,NULL,NULL,NULL,yes,prevent damage to submerged lands and restore degraded shorelines,reduce amount of debris and monitor water quality,"resource inventories, reduce illegal fishing and bycatch, and asses invasive species","public use, education, and outreach",NULL,CP,,,,,
28,371,Yellow River Marsh Aquatic Preserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/CAMA/plans/aquatic/Yellow_River_Marsh_Aquatic_Preserve_Management_Plan.pdf#,geomorphological,NULL,NULL,NULL,yes,slow or stop habitat loss,improve water quality,removal of non-native invasive species,"public use, education, and outreach",great economic value,CP,,,,,
29,372,Basin Management Action Plan for the Implementation of Total Maximum Daily Loads for Fecal Coliform Adopted by the Florida Department of Environmental Protection in Bayou Chico (Pensacola Basin),2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/water/watersheds/docs/bmap/bayou-chico-bmap.pdf#,geomorphological,NULL,NULL,NULL,yes,NULL,improve water quality and reduce fecal coliform loading ,NULL,public education and outreach,NULL,BW,,,,,
30,373,"Final 2009 Hillsborough River Basin Management Action Plan for the Implementation of Total Maximum Daily Loads Adopted by the Florida Department of Environmental Protection in the Hillsborough River Basin for Fecal Coliform Bacteria 
",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/water/watersheds/docs/bmap/hillsb_bmap_adopted.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
31,374,Final Basin Management Action Plan for the Implementation of Total Daily Maximum Loads for Dissolved Oxygen Adopted by the Florida Department of Environmental Protection in the Everglades West Coast Basin,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/water/watersheds/docs/bmap/ewc-bmap-final-nov12.pdf#,geomorphological,NULL,NULL,NULL,yes,NULL,improve water quality and dissolved oxygen levels,NULL,public outreach and education,NULL,BW,,,,,
32,375,Final Basin Management Action Plan for the Implementation of Total Maximum Daily Loads for Nutrients Adopted by the Florida Department of Environmental Protection in the Caloosahatchee Estuary Basin ,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/water/watersheds/docs/bmap/caloosa-estuary-bmap-final-nov12.pdf#,geomorphological,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BW,,,,,
33,376,2013 Progress Report for the Caloosahatchee Estuary Basin Management Action Plan ,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/water/watersheds/docs/bmap/caloosa-estuary-bmap-apr2013.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
34,377,2013 Progress Report for the Everglades West Coast Basin Management Action Plan ,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/water/watersheds/docs/bmap/ewc-bmap-apr-2013.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
35,378,2013 Progress Report for the Hillsborough River Basin Management Action Plan ,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/water/watersheds/docs/bmap/hillsb-river-bmap-apr-2013.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
36,379,Scarring of Florida’s Seagrasses: Assessment and Management Options,2018-02-27,FL Fish and Wildlife Conservation Commission,http://floridakeys.noaa.gov/review/documents/swscarring.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
37,380,Doctors Pass Inlet Management Study Implementation Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/beaches/publications/pdf/IMPlans/doc_pass.pdf#,geomorphological,NULL,NULL,NULL,yes,"bypassing all beach compatible dredged material, maintain the north jetty, implement monitoring program",NULL,NULL,NULL,NULL,CH,,,,,
38,381,East Pass Inlet Management Study Implementation Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/beaches/publications/pdf/IMPlans/EastPassInletMgmtPlan.pdf#,geomorphological,NULL,NULL,NULL,yes,"modify inlet sand transfer protocol, complete stabilization of Norriego Point, supplemental inlet sediment excavation",comprehensive beach and inlet hydrographic monitoring program,NULL,NULL,NULL,CH,,,,,
39,382,Venice Inlet Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/beaches/publications/pdf/IMPlans/venice.pdf#,geomorphological,NULL,NULL,NULL,yes,"place dredged material in areas of need, study regarding shorelines if shoals or channel is a borrow source, study regarding realignment of jetties, revisions fo sediment budget, comprehensive montioring program",NULL,NULL,NULL,NULL,CH,,,,,
40,383,Apalachicola National Estuarine Research Reserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/coastal/sites/apalachicola/pub/ANERR_Management_Plan.pdf#,geomorphological,NULL,yes,NULL,yes,"assessment of man-made alterations and land changes and upstream activities, acquisition of key lands, reintroduce prescribed fire",examination of morphology and hydrology,"assessment of nursery areaseffective management strategies for endangered species, invasive species control",public education and outreach,"monitor cultural and sconomic implications of past, present, and future uses of the natural resources of the system",CH,,,,,
41,384,Rookery Bay National Estuarine Research Reserve Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/cama/plans/aquatic/Rookery_Bay_NERR_Management_Plan.pdf#,geomorphological,NULL,yes,NULL,yes,"wetland resoration, seagrass mapping, habitat restoration, restore natural conditions",restore natural freshwater inflows,protect listed species and invasive species control,public outreach and education,NULL,CH,,,,,
42,385,Anclote Key Preserve State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/AncloteKeyPreserveStatePark.pdf#,geomorphological,NULL,NULL,NULL,yes,restore natural communities and habitats and maintain cultural resources,preotect water wuality and quantitiy and resotre hydrology,protect imperiled species and remove invasive species,public access and recreational options,NULL,BI,,,,,
43,386,"Bahia Honda State Park Unit Management Plan, Approved Plan",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/BahiaHondaStatePark.pdf#,geopolitical,NULL,yes,NULL,yes,restore natural communities and habitats and maintain cultural resources,water quality and quantity and restore hydrology,protect imperiled species and remove invasive species,develop and maintain the captial facilities and infrastructure and provide public access and recreational options ,NULL,CH,,,,,
44,387,"Bald Point State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/BaldPointStatePark.pdf#,geopolitical,NULL,NULL,yes,NULL,"prescribed fire program, resotration of altered areas, protect cultural resources",maintain natural hydrological regimes,"maintain, protect, and restore plant and animal diversity",seek funding to exapnd recreational and interpretice opportunities,NULL,CH,,,,,
45,388,"Big Lagoon State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/BigLagoonStatePark.pdf#,geopolitical,NULL,NULL,yes,NULL,"restore natural conditions and habitat, prescribed dire, restore motor exclusions, preserve cultural resources","water quality and quantity, remove debris, function of basin swamp","manage beaver population, ivasive species control, protect imperiled species populations","improve facilities and road, develop new recreational and educational programs",NULL,CH,,,,,
46,389,"Caladesi Island State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CaladesiIslandStatePark.pdf#,geopolitical,NULL,NULL,yes,NULL,"prescribed burn of mesic flatwoods, protect marine grass beds, protect cultural resources",NULL,"remove invasive species, protect nesting marine turtles, protect shorebird nesting and resting sites","provide quality resource based recreational programs, seek funding to expand recreational programs, expand partnerships",NULL,CH,,,,,
47,390,Camp Helen State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CampHelenStatePark.pdf#,geopolitical,NULL,NULL,yes,NULL,"prescribed fire, resotre natural habitats, preserve cultural resources","water quality and quantity, restore hydrology ",protect imperiled species and remove invasive species,"provide public access and recreation opportunities, develop 3 new programs, improve 3 exisiting facilities",NULL,CH,,,,,
48,391,"Cayo Costa State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CayoCostaStatePark.pdf#,geomoprhological,NULL,yes,yes,NULL,"protect natural resources, prescribed fire, protect cultural resources",NULL,"control invasive species, monitor marine turtles and nesting shorebirds","provide quality outdoor recreation, seek funding to expand recreational opportunities, enhance safe boating access, increase public awareness",NULL,BI,,,,,
49,392,Cedar Key Museum State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CedarKeyMuseumStatePark.pdf#,geomorphological,NULL,NULL,yes,NULL,"restore natural habitats, protect cultural resources, mitigate erosion","water quality and quantity, restore hydrology ","protect impreiled species, remove invasive species","provide public access, develop 2 new programs, improve 3 facilities, construct 2 new facilities",NULL,BI,,,,,
50,393,"Cedar Key Scrub State Reserve Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CedarKeyScrubStateReserve.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, prescribed fire","water quality and quantity, restore hydrology ","protect imperiled species, remove invasive species","provide public access, develop new recreational programs, improve 4 facilities and 12 miles of trail, construct 3 new facilities",NULL,BI,,,,,
51,394,"Charlotte Harbor Preserve State Park Unit Management Plan, Approved Plan",2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/parks/planning/parkplans/CharlotteHarborPreserveStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"prevent erosion, protect natural communities, manage forest resources, fire management, support land use planning policies",restore natural flow ways and protect water quality,"protect native species, manage listed species, eradicate invasive species, manage problem species","provide recreational programs, seek funding to exapnd opportunities, maintain facilities, provide community support",NULL,CH,,,,,
52,395,Cockroach Bay Preserve State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CockroachBayPreserveStatePark.pdf#,geopolitical,NULL,NULL,yes,NULL,"restore natural habitats, protect cultural resources, fire management, monitor erosion","water quality and quantity, restore hydrology ","protect imperiled species, remove invasive species, monitor gopher tortoise","provide public access , maintain facilities",NULL,CH,,,,,
53,396,"Collier-Seminole State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://dep.state.fl.us/parks/planning/parkplans/CollierSeminoleStatePark.pdf#,geopoliticsl,NULL,NULL,yes,NULL,"prescriber burning in all pyrrhic communities, protect archaeological sites and historical structures",restore hydrology to pre-drainage conditions,control invasive exotic plants,"provide recreational programs, seek funding to expand recreational opportunities, provide high level of visitor service",NULL,CP,,,,,
54,397,"Crystal River Preserve State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CrystalRiverPreserveStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, monitor erosion","water quality and quantity, restore hydrology ","protect imperiled species, remove invasive species, remove 150 feral hogs annually","provide public access, 2 new programs, improve 3 facilities and 7 miles of trail and 500 feet of boardwalk, construct 4 new facilities and 1 mile of road",NULL,CH,,,,,
55,398,Curry Hammock State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/CurryHammockStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire mangement, seagrass bed restoration","water quality and quantity, restore hydrology, restore salt marsh and mangrove swamp","protect imperiled species, remove invasive species","provide public access, improve 2 facilities, construct 1 new facility",NULL,BI,,,,,
56,399,"Dagny Johnson Key Largo Hammock Botanical State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/DagnyJohnsonKeyLargoHammockStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources","water quality and quanitity, restore hydrology, restore natural conditions to mangrove swamp and Keys tiday rock barren natural communities","protect imperiled species, map all imperiled plant species, remove invasive species",many new additions and improvements,NULL,CH,,,,,
57,400,"Deer Lake State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/DeerLakeStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, restore fomer seepage slope/wet prairie commnity, scrubby flatwoods, and sandhill","water quality and quantity, restore hydrology, imprve conditions of seepage natural slope community and wetlands","protect imepriled species, remove invasive species","provide public access, develop 2 new recreational programs, improve 3 facilities and 0.2 miles of road, contruct 2 new facilties and 4 miles of trail ",NULL,CH,,,,,
58,401,"Delnor-Wiggins Pass State Park  Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/Delnor-WigginsPassStateRecreationArea.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, erosion control, monitor impacts of dredging","water quality and quantity, restore hydrology","protect imperiled species, remove invasive species","provide public access, many new additions, conduct survey/analysis",NULL,CH,,,,,
59,402,"Don Pedro Island State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/DonPedroIslandStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, prescribed fire management","water quality and quantity, restore hydrology, resotre natural conditions to salt marsh and mangrove swamp","protect imperiled species, remove invasive species","provide public access, 4 new programs, many improvements and new additions",NULL,BI,,,,,
60,403,Dr. Julian G. Bruce St. George Island State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/StGeorgeIslandStatePark.pdf#,geomorphological,NULL,NULL,yes,NULL,"restore natural habitats, protect cultural resources, fire management","water quality and quantity, restore hydrology","protect imperiled species, remove invasive species","provide public access, 3 new programs, improve 8 facilites and 8 miles of road, construct 1 new facility",NULL,BI,,,,,
61,404,"Econfina River State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/EconfinaRiverStatePark.pdf#,geomophological,NULL,yes,yes,NULL,"restore natural habitat, protect cultural resources, fire management","water quality and quantity, restore hydrology, restore natural conditions of the hydric hammock natural community","protect imperiled species, remove invasvie species","provide public access, improve 2 facilities, 3 new facilities",NULL,CH,,,,,
62,405,"Estero Bay Preserve State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/EsteroBayPreserveStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"reduce erosion, fire management, minimize development impacts, protect historical resources, expand research ","restore flow ways, protect water quality, determine needed research","protect native species, protect listed species, remove invasive species","enhance visitation opportunities, establish security measures, public education and outreach",NULL,CH,,,,,
63,406,"Fort Zachary Taylor Historic State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/FortZacharyTaylor.pdf#,geomorphological,NULL,yes,yes,NULL,"protect habitat, erosion measurements, protect cultural resources, support land use policies","water quality monitoring, survery breakwaters","remove invasive species, protect coral and imperiled species, initiate bird banding program","provide quality programs, seek funding to expand programs, promote commutiy support",NULL,BI,,,,,
64,407,"Fred Gannon Rocky Bayou State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/FredGannonRockyBayouStateRecreationArea.pdf#,geopolitical,NULL,NULL,yes,NULL,"restore natural habitats, protect cultural resources, fire management, restore sandhill and scrubby flatwoods and wet flatwoods and mesic flatwoods and seepage slop and shrub bog natural communities","water quality and quantity, restore hydrology, restore functions of seepage stream, improve runoff sheet erosion ","protect imperiled species, remove invasive species, collect seeds from pondspice, investigate red cockaded woodpecker cavity","provide public access, 1 new program, improve 6 facilities and 2 miles of trail",NULL,CH,,,,,
65,408,Gasparilla Island State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/GasparillaIslandStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources","water wuality and quantity, restore hydrology, maintain culverts in Old South Bayou","protect imperiled species, remove invasive species, protect sensitive shorebird and turtle nesting areas","provide public access, improve 6 facilities",NULL,BI,,,,,
66,409,Grayton Beach State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/GraytonBeachStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitat, fire management, restore seepage slope, wet prairie, sadnhill, scrubby flatwoods, scrub, beach dune","water quality and quantity, restore hydrology, improve functions of coastal dune natural community, install low water crossing","protect imperiled species, remove invasive species, support turtle recovery, prevetn shroebird disturbance, augment beach mice ","provide public access, 6 new programs, improve 9 facilities and 400 feet of road, 21 new facilities and 4 miles of trail",NULL,CH,,,,,
67,410,Henderson Beach State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/HendersonBeachStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management","water quality and quantity, restore hydrology","protect imperiled species, remove invasive species, support turtle recovery ","provide public access, 5 new programs, improve 15 facilities, 10 new facilities ",NULL,CH,,,,,
